t [s],P [Pa],T [K],D [kg/m^3],Hlv [J/kg],Volume [m^3],Mass [kg],X1 [m],X2 [m],V1 [m/s],V2 [m/s],dMdt [kg/s],dVolume/dt [m^3/s],covered percentage,bubble label
0.21960000000000218,197641.4320876342,291.62863579199495,5.070447534701768,368000.8170940205,1.1836407910968081e-7,6.001588531189261e-7,0.84975141856775,0.9707990817919533,0.02227898973328534,0.028649997217268956,7.477860999214782e-8,6.500811692834241e-9,0.3117111463072597,1.0
0.2200000000000022,197647.24545502092,291.62953661931675,5.070588290946032,367999.93295903143,1.1836665803112758e-7,6.001885902510486e-7,0.8497610401302865,0.9708109030931208,0.02272495744705155,0.028993530186039333,7.391170360941039e-8,6.396742056783201e-9,0.31169925430801493,1.0
0.2204000000000022,197653.00979261083,291.63042984908316,5.070727860055611,367999.0562808151,1.1836919650332624e-7,6.002179824818136e-7,0.8497708524240595,0.9708228670905374,0.023171571852810824,0.029343144390833284,7.305452939793534e-8,6.298094681232883e-9,0.31168707269426127,1.0
0.22080000000000222,197658.72302299476,291.63131515938323,5.070866191731206,367998.18737531727,1.1837169650687257e-7,6.002470338745669e-7,0.8497808559191187,0.9708349762824776,0.02361975840069748,0.029698741507978632,7.220778414052466e-8,6.20385578116843e-9,0.3116746125074625,1.0
0.22120000000000223,197664.3839125799,291.63219235906195,5.071003256104432,367997.32643015106,1.1837415958795117e-7,6.00275748709126e-7,0.8497910514897762,0.9708472331281329,0.02407047885216335,0.03006013806152835,7.137184401933332e-8,6.112890422388141e-9,0.311661882247032,1.0
0.22160000000000224,197669.99209477883,291.6330613913137,5.071139044299286,367996.4735010693,1.1837658681921048e-7,6.003041313497824e-7,0.8498014404211398,0.9708596399730485,0.024524680000152697,0.03042707167540972,7.054675593907545e-8,6.0239972613551035e-9,0.3116488874198531,1.0
0.22200000000000225,197675.5480489582,291.63392233042015,5.07127356792244,367995.62851516687,1.1837897878576026e-7,6.003321861138773e-7,0.849812024391133,0.9708721990384747,0.024983255012695996,0.030799205741528203,6.973224568236352e-8,5.935943776854348e-9,0.3116356305924667,1.0
0.22240000000000226,197681.05307605234,291.6347753779713,5.071406858472786,367994.7912745891,1.1838133557423196e-7,6.003599171463283e-7,0.8498228054501455,0.9708849123925221,0.025447048328113644,0.031176126694262254,6.892801415776102e-8,5.847480228731857e-9,0.31162211135286766,1.0
0.22280000000000227,197686.5094915934,291.6356203506861,5.071538968355618,367993.96183855063,1.1838365676994324e-7,6.003873285252035e-7,0.8498337859915436,0.970897781918456,0.02591681333182916,0.03155735113377707,6.813356469651437e-8,5.7573749712109915e-9,0.3116083262899897,1.0
0.22320000000000229,197691.92006823118,291.636458153886,5.071669967914977,367993.1394243922,1.1838594147420893e-7,6.004144239980855e-7,0.8498449687076635,0.9709108092907112,0.026393194871588085,0.03194234729329795,6.73474210373253e-8,5.664013183160192e-9,0.31159426912834404,1.0
0.2236000000000023,197697.2888239302,291.6372894813036,5.071799954915987,367992.32336706674,1.1838818798048977e-7,6.004412064620334e-7,0.8498563565398312,0.9709239955950688,0.026876703704287828,0.03232821101895834,6.656751420732595e-8,5.564774366143079e-9,0.3115799288933166,1.0
0.2240000000000023,197702.62179578928,291.63811526775623,5.071929075527407,367991.5127489279,1.1839039329370184e-7,6.004676780094514e-7,0.8498679526054959,0.9709373407647339,0.027367642601470493,0.03271344349998468,6.579167723021599e-8,5.457702365959261e-9,0.31156528711654957,1.0
0.22440000000000232,197707.92518588924,291.6389364736079,5.072057479912504,367990.70662725216,1.1839255414238254e-7,6.004938398038175e-7,0.8498797601032434,0.9709508445285425,0.027866093336522492,0.03309794756111835,6.501760674190571e-8,5.342458006049393e-9,0.3115503237770651,1.0
0.22480000000000233,197713.20486869244,291.63975400849245,5.072185310302326,367989.9041091139,1.1839466726010668e-7,6.005196920948449e-7,0.8498917822230936,0.9709645066137382,0.028371935680025585,0.03348181133488002,6.424304756455396e-8,5.2185155460167636e-9,0.31153501896348545,1.0
0.22520000000000234,197718.46716129294,291.6405688505831,5.072312719644811,367989.10423430754,1.1839672895481935e-7,6.005452342418692e-7,0.8499040226825806,0.9709783268188582,0.028888685798684983,0.03386529254152802,6.346550778453698e-8,5.0839053549532e-9,0.31151935023799554,1.0
0.22560000000000235,197723.72003115222,291.6413822336052,5.072439900846187,367988.3057917691,1.1839873438439065e-7,6.005704645010725e-7,0.8499164865717608,0.9709923050822232,0.029417290088128076,0.03424881131473491,6.268219466567096e-8,4.9377960750006006e-9,0.3115032882366618,1.0
0.22600000000000237,197728.97019329303,291.64219519734934,5.072567016488946,367987.5077608071,1.1840067919167935e-7,6.005953799976017e-7,0.8499291786708202,0.9710064415444352,0.029956368872582347,0.03463292668836739,6.189058473494331e-8,4.781849765242656e-9,0.3114868065929255,1.0
0.22640000000000238,197734.22255875875,291.6430085022683,5.072694185478067,367986.70939493715,1.1840255986420284e-7,6.006199769688605e-7,0.8499421031155705,0.9710207365960557,0.03050430327543913,0.035018287598990526,6.108876629087286e-8,4.618311024145189e-9,0.3114698840915592,1.0
0.2268000000000024,197739.48013224464,291.64382261362556,5.072821480562502,367985.91023744177,1.1840437384049867e-7,6.006442510106344e-7,0.8499552633102321,0.9710351909353042,0.03105927884857388,0.03540557400684882,6.027527606472028e-8,4.449672164959446e-9,0.31145250547482445,1.0
0.2272000000000024,197744.74388887847,291.6446376824151,5.072948925351803,367985.1101401005,1.1840611960193481e-7,6.006681971897123e-7,0.8499686618298661,0.9710498055697436,0.031619260503770445,0.035795435986925576,5.944939842111244e-8,4.278575928396366e-9,0.3114346620089396,1.0
0.2276000000000024,197750.01289300554,291.64545356375527,5.073076497192129,367984.309245134,1.1840779670124138e-7,6.006918105293713e-7,0.8499823003658438,0.9710645816943823,0.03218216381189691,0.036188438803851586,5.8611425697059836e-8,4.107640029032521e-9,0.31141635105157384,1.0
0.22800000000000242,197755.28449593426,291.64626984750794,5.073204131954004,367983.5079551465,1.1840940571395803e-7,6.007150863302699e-7,0.8499961797319213,0.971079520707721,0.03274599116768545,0.036585017624771676,5.776230707635966e-8,3.9392793621515035e-9,0.3113975760810634,1.0
0.22840000000000243,197760.55460838298,291.6470859004666,5.073331730628743,367982.7068917138,1.184109481247311e-7,6.007380203750324e-7,0.8500102999237212,0.97109462415479,0.03330892697744609,0.03698544747530856,5.693078465351949e-8,3.775627617743342e-9,0.31137834602022285,1.0
0.22880000000000245,197765.82558121748,291.64790208665204,5.0734593501349305,367981.90569750126,1.1841242621605223e-7,6.007606309579927e-7,0.8500246602078777,0.9711098936595726,0.03386936225241107,0.037389846407347826,5.6099214866979184e-8,3.6183794407289753e-9,0.3113586714116924,1.0
0.22920000000000246,197771.0860023563,291.6487166389554,5.0735867141660425,367981.1061071593,1.1841384282828369e-7,6.00782899746926e-7,0.8500392592073126,0.9711253308652906,0.034425955756928826,0.03779817071192918,5.523747009430811e-8,3.47130384237946e-9,0.31133857143567484,1.0
0.22960000000000247,197776.32447949072,291.6495277933294,5.073713546894282,367980.30985233234,1.1841520325912613e-7,6.008048209340682e-7,0.8500540928745222,0.9711409373649855,0.03496428770598336,0.03821015616308188,5.4369003923029974e-8,3.343917479559373e-9,0.31131807861773736,1.0
0.23000000000000248,197781.52267120805,291.65033270968974,5.073839404241847,367979.5197209373,1.1841651796226734e-7,6.008263949500644e-7,0.8500691515054377,0.9711567145977199,0.03547930811299162,0.038625329369180256,5.350489940669745e-8,3.2419400689525757e-9,0.31129725607351116,1.0
0.2304000000000025,197786.66417842277,291.65112884871246,5.073963889158087,367978.73820565484,1.184177968111813e-7,6.008476248535935e-7,0.8500844257748956,0.9711726637523387,0.0359741752150825,0.03904301642037476,5.265110914187456e-8,3.1624993483708827e-9,0.31127616314211004,1.0
0.2308000000000025,197791.73638495826,291.65191425684,5.074086696183217,367977.9672241589,1.1841904796174603e-7,6.008685158373779e-7,0.8500999078753174,0.9711887857091157,0.036452783686774806,0.03946239251222945,5.1812815979964054e-8,3.100920374332814e-9,0.31125484861628494,1.0
0.23120000000000251,197796.73095459858,291.65268764324713,5.074207623482813,367977.2080435646,1.1842027754748076e-7,6.008890751063775e-7,0.8501155917886757,0.9712050809882237,0.036919602520868754,0.03988253289466898,5.099339614876566e-8,3.051861203507175e-9,0.31123334888481463,1.0
0.23160000000000253,197801.64377470853,291.65344837111115,5.074326571482757,367976.4612889972,1.1842148945070884e-7,6.009093105542969e-7,0.8501314734964465,0.9712215497178704,0.0373794478860811,0.04030246323170139,5.0194154175632846e-8,3.0095963117900903e-9,0.3112116866966787,1.0
0.23200000000000254,197806.47497815895,291.65419646100634,5.074443543400086,367975.7269402602,1.1842268522453019e-7,6.00929230429718e-7,0.8501475510531602,0.9712381916261593,0.03783715694618897,0.04072121499574064,4.941522483846295e-8,2.968371143255029e-9,0.3111898707040725,1.0
0.23240000000000255,197811.2286366788,291.6549325434215,5.074558637818505,367975.00437844597,1.1842386414762344e-7,6.009488427341677e-7,0.850163824539193,0.9712550060535089,0.03829735830575925,0.04113787442635237,4.865494395984544e-8,2.9226833598163342e-9,0.311167895847916,1.0
0.23280000000000256,197815.91220900632,291.65565777330835,5.074672035327163,367974.29246981733,1.1842502337121805e-7,6.009681543848859e-7,0.8501802959381839,0.9712719919876692,0.03876426600734353,0.04155163817021149,4.7910164320043375e-8,2.8675412557447625e-9,0.31114574433053316,1.0
0.23320000000000257,197820.5359564718,291.65637373958725,5.074783984370881,367973.58965463965,1.1842615818062804e-7,6.009871708656237e-7,0.8501969689121317,0.9712891481170025,0.039241504427059246,0.04196185119729163,4.7176522015371014e-8,2.7986883941634507e-9,0.3111233872193734,1.0
0.23360000000000258,197825.11214735557,291.6570823419456,5.074894781986264,367972.89406811964,1.1842726232193338e-7,6.010058956024982e-7,0.8502138485229209,0.9713064728993178,0.039731981536490144,0.04236804656582668,4.6449456897181885e-8,2.7127599510492865e-9,0.3111007864837346,1.0
0.2340000000000026,197829.6545357453,291.6577857101414,5.075004761183921,367972.20361961937,1.1842832838858888e-7,6.010243304311415e-7,0.8502309409063785,0.9713239646445461,0.04023780353633658,0.04276996768947405,4.572436183072079e-8,2.6073923253825557e-9,0.3110778972412871,1.0
0.2344000000000026,197834.17745226546,291.65848606320674,5.075114268933431,367971.5161308667,1.1842934823579368e-7,6.010424750919628e-7,0.850248252919053,0.9713416216016888,0.040760234194968145,0.043167569588126,4.499561069490599e-8,2.4812632176027198e-9,0.3110546703191574,1.0
0.23480000000000262,197838.694954921,291.6591855779597,5.075223645603774,367970.82946502796,1.1843031339916296e-7,6.010603269196974e-7,0.8502657917785386,0.9713594420475794,0.04129970492367991,0.0435610063343232,4.425722286511793e-8,2.334073403527343e-9,0.31103105484379523,1.0
0.23520000000000263,197843.22013096046,291.65988628090133,5.075333208060213,367970.1416328257,1.184312154945165e-7,6.010778808702549e-7,0.8502835647156413,0.9713774244149372,0.041855855546552856,0.04395060311875293,4.350455764106799e-8,2.166483087154925e-9,0.3110070009499807,1.0
0.23560000000000264,197847.76481050058,291.66059000387133,5.075443242730644,367969.4508360678,1.1843204658563268e-7,6.010951305658102e-7,0.8503015786500796,0.9713955672663348,0.04242760658647321,0.04433682591887027,4.2733387179296246e-8,1.9800075552220707e-9,0.31098246134763213,1.0
0.23600000000000265,197852.33875739493,291.66129825875817,5.0755539860151035,367968.7555906368,1.1843279950056068e-7,6.011120675799983e-7,0.8503198399046826,0.9714138693535695,0.04301326560219561,0.04472025146067178,4.193901540261757e-8,1.7768779028019742e-9,0.3109573933930995,1.0
0.23640000000000266,197856.94933415035,291.66201218561247,5.075665616172808,367968.054777423,1.1843346808795492e-7,6.011286817781323e-7,0.85033835397072,0.9714323296798335,0.043610657811694535,0.04510151941547276,4.111892498033174e-8,1.5598724651948697e-9,0.31093176075223355,1.0
0.23680000000000268,197861.60166987294,291.66273257865305,5.0757782573884205,367967.34761679586,1.1843404739853284e-7,6.011449627199826e-7,0.8503571253308553,0.9714509475133423,0.04421726221171948,0.045481278066139774,4.0270295780827145e-8,1.3321247264065896e-9,0.31090553431790957,1.0
0.2372000000000027,197866.2979047498,291.6634597692781,5.07589196147963,367966.6337834445,1.1843453378773605e-7,6.01160898014757e-7,0.850376157341384,0.9714697223824543,0.04483035481987505,0.04586014299805725,3.9391622748317496e-8,1.0969616297075506e-9,0.3108786930937866,1.0
0.2376000000000027,197871.03809764222,291.664193553364,5.0760067284328745,367965.91343024315,1.184349249678366e-7,6.011764760181812e-7,0.850395452159379,0.9714886540543136,0.045447028497371686,0.046238660827636335,3.848260326148884e-8,8.578203918008625e-10,0.3108512241533281,1.0
0.2380000000000027,197875.8194688611,291.6649333897466,5.076122490199837,367965.18706374743,1.1843522004404949e-7,6.011916840973662e-7,0.8504150106655167,0.971507742501265,0.04606427221963887,0.04661728172639073,3.75422386407031e-8,6.174219021295586e-10,0.3108231231588137,1.0
0.23840000000000272,197880.63779778968,291.66567894471007,5.076239146749821,367964.4550827867,1.1843541890535831e-7,6.012065098090938e-7,0.8504348330702785,0.9715269878553756,0.04668284355635252,0.046996334390513615,3.651565881240924e-8,3.7651093520783296e-10,0.31079439047877383,1.0
0.23880000000000273,197885.47391118863,291.6664272515198,5.076356233879574,367963.7204000813,1.1843552125279766e-7,6.012208966244161e-7,0.8504549198167561,0.9715463903559507,0.04730121272141317,0.047376017521581916,3.519241130857982e-8,1.3581605380249017e-10,0.310765025873263,1.0
0.23920000000000274,197890.26393098885,291.66716842612414,5.076472205037319,367962.9927197283,1.1843552755820135e-7,6.012346637381406e-7,0.850475270289399,0.971565950235132,0.04791725435340091,0.047756006441453336,3.3907116975718836e-8,-1.0207050655873575e-10,0.310735034618381,1.0
0.23960000000000276,197895.07836995137,291.66791337918113,5.076588767407344,367962.2613297153,1.1843543959639241e-7,6.012480223179967e-7,0.8504958830391439,0.9715856675684134,0.048528656190168815,0.04813606558491392,3.2863637100798035e-8,-3.348406096984824e-10,0.31070442665356063,1.0
0.24000000000000277,197899.90695667354,291.6686605213648,5.076705672308743,367961.5277904322,1.1843525968571359e-7,6.012609546478213e-7,0.850516755552113,0.9716055423703144,0.04913304625963322,0.04851603330769755,3.1788219350836805e-8,-5.608561649846618e-10,0.31067321798483793,1.0
0.24040000000000278,197904.74150779634,291.6694085864387,5.076822721614232,367960.7933450616,1.1843499091146042e-7,6.012734528934774e-7,0.8505378844181949,0.9716255745635641,0.04972860092494523,0.04889563315495068,3.069654346506517e-8,-7.785391956307346e-10,0.310641427971401,1.0
0.2408000000000028,197909.5738905151,291.6701563159887,5.076939718420496,367960.05922910606,1.1843463685435709e-7,6.012855118825933e-7,0.8505592655653466,0.9716457639383382,0.050314048507826524,0.049274501813806645,2.9592918292409577e-8,-9.869701765492522e-10,0.3106090787093537,1.0
0.2412000000000028,197914.3958199372,291.67090242806773,5.0770564621420196,367959.32670117286,1.1843420133531918e-7,6.012971272281113e-7,0.8505808944965398,0.9716661101210301,0.05088867009137966,0.0496522119934619,2.847985874952634e-8,-1.185852286136955e-9,0.31057619375640855,1.0
0.2416000000000028,197919.1994430168,291.67164570754966,5.077172762648729,367958.5969542649,1.1843368817252818e-7,6.013082957695929e-7,0.8506027665281898,0.9716866125517449,0.05145232266278244,0.05002829718910383,2.7360277314073623e-8,-1.3755018923080643e-9,0.3105427965868014,1.0
0.24200000000000282,197923.9777340015,291.67238506731803,5.07728844984015,367957.8710557059,1.1843310093380534e-7,6.013190154499626e-7,0.8506248770430982,0.9717072704744081,0.05200542873715323,0.05040227742911126,2.62368990641551e-8,-1.556793575324533e-9,0.3105089091056489,1.0
